"key","value"
"MINIMIZE_DRIVE_TIME","وكيل تقليل الوقت بالسيارة"
"DRIVE_ON_TIME_END","وكيل يجب أن تصل دائما في الوقت المحدد"
"WILL_BE_OPTIMIZE_TASK","سيتم تحسين مهمة ضمن قيود نهاية الوقت ولكن قد يؤدي إلى مهمة غير المعينة"
"WILL_BE_OPTIMIZE_ENTIRE_TASK","سوف يكون الأمثل مهمة ليوم كامل بغض النظر عن وقت انتهاء المهمة"
"custom_task_duration","مدة العمل المخصصة"
"MAX_task_per_fleet","وكيل PER TASK الأقصى"
"routed_task","المهمة الموجهة"
"ASSIGN_AGENTS","وكلاء تعيين"
"SELECT_TEAM","اختر فريق"
"SUBMIT","عرض"
"DETAILS","تفاصيل"
"ADDRESS","عنوان"
"CUSTOMER_NAME","اسم الزبون"
"CUSTOMER_PHONE","الهاتف العملاء"
"TASK_ID","معرف المهمة"
"TASK_DETAILS","تفاصيل مهمة"
"TASK_TYPE","نوع المهمة"
"DESCRIPTION","وصف"
"TASK_STATUS","مركز العمل"
"CUSTOMER_DETAILS","تفاصيل العميل"
"COMPLETE_TIME","الوقت الكامل"
"THIS","هذه"
"DELETED","تم الحذف"
"ADD_AGENT","إضافة الوكيل"
"LAST_NAME","الكنية"
"PHONE","هاتف"
"ASSIGN","تعيين"
"SCHEDULE_PERMISSIONS","ضوابط الجدول الزمني لوكلاء"
"CONTACT","اتصل"
"NAME","ما اسمك"
"TIMELINE","الجدول الزمني"
"NO_TIMELINE","لا يوجد جدول زمني متاح لليوم"
"NOT_UPDATED","غير محدث"
"LAST_STOPPAGE_TIME","نشاط الوقت المحتسب بدل الضائع"
"LAST_MOVING_TIME","نشاط المتحرك الوقت"
"AGENTS","وكلاء البحث"
"STATUS","الحالة"
"TASK_DESCRIPTION","وصف المهمة"
"CUSTOM_FIELDS","العادة"
"REFERENCE_IMAGE","صورة المرجعية"
"ACTIVITY_TIMELINE","آخر الجدول الزمني"
"PATH_HISTORY","سجل مسار"
"START_BEFORE","قبل البدء"
"COMPLETE_BEFORE","كاملة قبل"
"CUSTOMER","زبون"
"TOTAL_TIME_TAKEN","إجمالي الوقت المستغرق"
"DISTANCE_TRAVELLED","المسافة المقطوعة"
"REASSIGN","إعادة تعيين"
"EDIT_TASKS","تحرير العمل"
"DUPLICATE_TASKS","تكرار العمل"
"CHANGE_STATUS","تغيير الوضع"
"DELETE_TASKS","حذف المهام"
"Export_Tasks","تصدير العمل"
"CUSTOMER_RATING","تقييم العملاء"
"TASK_DETAIL","تفاصيل"
"HISTORY","التاريخ"
"CONNECTED_TASKS","المهام المتصلة"
"TRACKING_LINK","تتبع لينك"
"CLICK_TO_TRACK","انقر هنا لتتبع"
"PENDING","قيد الانتظار"
"COMPLETED","منجز"
"CANCELLED","ألغيت"
"NO_TASKS","المهمة ليست متوفرة لهذا اليوم"
"TEAM","الفريق"
"SEEN","رأيت"
"UNSEEN","غير مرئي"
"SEARCH_FLEET","بحث"
"FLEET_RIGHT_2_TEXT_1","الكل"
"FLEET_TEAM","الفريق"
"FLEET_NAME","اسم العميل"
"FLEET_ID","وكيل معرف"
"FLEET_EMAIL","البريد الإلكتروني"
"FLEET_TAGS","الكلمات"
"PERMISSIONS","أذونات"
"ACTIVATE","تفعيل"
"MANAGER_RIGHT_2_CLICK_HERE","انقر هنا"
"SCHEDULE","الجدول الزمني لحسابك."
"CONTROL","مراقبة"
"MANAGER","مدير"
"SUB_HEADER","تعيين افتراضي ساعات العمل لكيلك"
"SUB_HEADER_2","تعيين حقوق الوصول لمدير الخاص بك"
"MANAGER_RIGHT_1","لا يمكن لمديري الوصول"
"MANAGER_RIGHT_2","يمكن للمديرين عرض وتحرير"
"MANAGER_RIGHT_2_TEXT_1","ويمكن لجميع مدراء الوصول بشكل افتراضي."
"MANAGER_RIGHT_2_TEXT_2","لتغيير هذه الإعدادات."
"SUB_HEADER_3","تعيين حقوق الوصول الخاصة بك"
"FLEET_RIGHT_1","لا يمكن الوصول"
"FLEET_RIGHT_2","يمكن عرض وتعديل"
"FLEET_RIGHT_2_TEXT_2","يمكن الوصول إليها عن طريق الافتراضي."
"FLEET_RIGHT_2_TEXT_3","لتغيير هذا الإعداد."
"UPDATE_MANAGER_PERMISSIONS","ضوابط تحديث إدارة"
"SET_MANAGER_RIGHTS","تعيين عرض وتحرير الإنسان للمدير الخاص بك"
"SEARCH_MANAGER","مدير البحث"
"MANGER_NAME","اسم المدير"
"MANGER_EMAIL","إدارة البريد الإلكتروني"
"MANGER_TEAM","مدير فريق"
"MANAGER_ID","هوية شخصية"
"SEARCH_TEAM","فريق البحث"
"CANCEL_FILTERS","إلغاء الفلاتر"
"SET_FLEET_RIGHTS","تعيين عرض وتحرير الحقوق الخاصة بك"
"SEARCH_TAG","بحث دلالية"
"STEP","خطوة"
"OF","من"
"VIEW_ONLY","للاطلاع فقط"
"VIEW&EDIT","معاينة ما تم تحريره"
"SEARCH_MANAGER_PLACEHOLDER","اسم المدير"
"CUSTOM_RIGHT_AGENT","لقد تعيين حقوق مخصصة لكل"
"update_agent_schedule","अद्यतन कर्मचारी अनुसूची"
"activate_agent_schedule","सक्रिय कर्मचारी अनुसूची"
"search_customer","البحث العملاء"
"IMPORT_CSV","استيراد CSV"
"SELECT_FILE","حدد ملف"
"IMPORT_CUSTOMERS","العملاء استيراد"
"CLICK_HERE_TEXT","لتحميل القالب ملف CSV مع القيم عينة لاستيراد بيانات العملاء"
"DRAG_DROP","السحب والإفلات ملف CSV"
"GET_IN_TOUCH","ابقى على تواصل"
"SELECT_TEMPLATE","حدد قالب"
"CREATE_TASK_VIA_CSV","إنشاء المهام عبر CSV"
"DOWNLOAD_SAMPLE_FILE","تحميل الملف عينة"
"HAVE_CUSTOM_FILE","Have a Custom File?"
"SELECT_CUSTOM_FIELD","حدد مخصص قالب الميدان"
"REMOVE_TEMPLATE","إزالة قالب"
"DROP_FILE","إسقاط ملف إرفاقه، أو"
"BROWSE","تصفح"
"CSV_UPLOAD","تقرير تحميل CSV"
"REASON","السبب"
"UPLOAD_STATUS","حالة التحميل"
"SUCCESS","نجاح"
"FAILED","فشل"
"DELIVERY","توصيل"
"PICK_UP","امسك"
"CSV","عبر CSV"
"CREATE","خلق"
"PICKUP","امسك"
"APP_ADD_REQ","مطلوب عنوان التعيين"
"ENSURE_FIELDS_BEFORE_UPLOAD","الرجاء التأكد من أن حقول رأس في عينة CSV لا يتم تعديل قبل التحميل."
"FOR","إلى عن على"
"HEADING","اعدادات الحساب"
"NEW_TASK","مهمة جديدة"
"AUTO_ASSIGN","انتقاء ذاتي"
"SELECT_AGENTS","حدد وكلاء"
"HELP_TEXT_1","لا يوجد لديك نشطة"
"CHANGE_TASK_STATUS","حالة المهمة التغيير"
"SELECT_A_TEAM","اختيار فريق قبل تحسين الطريق"
"HELP_TEXT_2","لإضافة"
"SELECT_DELIVERY_OPTIONS","اختر خيارات التسليم لعرض الحقول"
"SELECT_PICKUP_OPTIONS","حدد التقاط خيارات لعرض الحقول"
"LATITUDE","خط العرض"
"LONGITUDE","خط الطول"
"DELIVERY_ADDRESS","عنوان التسليم"
"TIMINGS","توقيت"
"PICKUP_TIME","اختار المعاد"
"GREATER_TIME","يجب أن يكون وقت أكبر من الوقت الحالي"
"DELIVERY_TIME","موعد التسليم"
"START_TIME","وقت البدء"
"END_TIME","وقت النهاية"
"ENT_TIME_GREATER","يجب أن يكون وقت النهاية أكبر من وقت البدء"
"CLIENT","زبون"
"REFERENCE_IMAGES","مرجع صور"
"ENABLE","مكن"
"LABEL","ضع الكلمة المناسبة"
"VALUE","قيمة الحقل"
"ACTION","عمل"
"ADD_ROW","اضف سطر"
"BUSSINESS_NAME","الاسم التجاري"
"MERCHANT_CONTACT","التاجر الاتصال"
"PICKUP_POINT","بيك اب نقطة"
"START_WITH","أبدا ب"
"LOCATION","موقعك"
"ADD_CUSTOM_FIELDS","إضافة الحقول المخصصة"
"DELIVERY_TIME_GREATER","وينبغي أن يكون التسليم في الوقت المحدد أكبر من الوقت البيك اب."
"REPEAT_TASK","كرر العمل"
"ASIGN_AGENT","تعيين وكيل"
"VIA_PARTNER","عبر الشريك"
"CREATE_TASK","لإنشاء مهمة من التطبيق."
"MANUALLY","يدويا"
"SWITCH_GEO_ON","التبديل في الجغرافية سياج"
"SELECT_AGENT","Select_Agent"
"NO","لا"
"AVAILABLE","متاح"
"YES","نعم فعلا"
"PICK_UP_DETAILS","البيك اب تفاصيل"
"DELIVERY_DETAILS","تفاصيل التسليم"
"RESET","إعادة تعيين"
"SELECT_PARTNER","اختيار الشريك"
"ASSIGN_TASKS","تعيين المهام المتصلة على نفس الفريق و"
"ALL_TASKS","الكل"
"PICKUP_ADDRESS","بيك أب عنوان"
"END_TIME_GREATER","وقت النهاية*"
"Task_DESCRIPTION","وصف المهمة"
"ADD_GEOFENCE","إضافة عنوان مهمة لتمكين مرشح الجغرافية السياج."
"NO_GEOFENCE","كنت ملاذ \ 'ر الإعداد أي المناطق الجغرافية السياج بعد"
"MATCHES_FILTER","مباريات التصفية"
"AUTO","تلقاءي"
"MANUAL","كتيب"
"NO_TEAM","لا فرق المتاحة، يرجى إضافة فريق للمتابعة."
"NO_RESULT","لا نتيجة"
"AUTOMATIC_ASSIGN","تعيين التلقائي"
"PARTNER","شريك"
"DUPLICATE_STOP","تكرار الإيقاف"
"UPDATE_STOP","تحديث الإيقاف"
"CREATE_STOP","إنشاء وقف"
"SELECT_A_PARTNER","اختيار الشريك"
"ENTER_COMMA_SEPARATED_MSG","الرجاء إدخال مفصولة بفواصل"
"ENABLE_ACKNOWLEDGE_TYPE_NONE","يرجى تعطيل لصناعة السيارات في مهمة لتمكين نوع الإقرار لا شيء."
"add_a_pickup_point","إضافة نقطة صغيرة"
"add_another_pickup_point","إضافة نقطة صغيرة أخرى"
"add_a_delivery_point","إضافة نقطة التسليم"
"add_another_delivery_point","إضافة نقطة التسليم آخر"
"automatically","تلقائيا"
"ENTER_BARCODE","أدخل الباركود"
"ALL_TEAMS","جميع الفرق"
"BATTERY_LAVEL","مستوى البطارية"
"NEW","الجديد"
"COPY_DESC_STOP","وصف نسخة عن توقف"
"THIS_OVERRIDE_STOPS_DESC","وهذا تجاوز كافة يتوقف وصف"
"REASIGN_AGENT","إعادة تعيين وكيل"
"assign_connected_task_to_same_agent","تعيين المهام المتصلة على نفس الفريق وكيل"
"NOTES","ملاحظات"
"EMAIL_OPTIONAL","البريد الإلكتروني اختياري)"
"DELIVER_BEFORE","تسليم قبل"
"PICKUP_BEFORE","البيك اب قبل"
"OR","أو"
"CLICK_OR_BROWSE","انقر لتصفح أو إسقاط ملف صورة"
"SHOW_COORDINATES","مشاهدة الاحداثيات"
"REPEAT_HEADER","كرر"
"REPEATS_HEADER","يكرر"
"REPEATS_ON","يكرر في"
"STARTS_ON","يبدأ يوم"
"ENDS_ON","ينتهي في"
"AFTER_TEXT","بعد"
"OCCURENCES_TEXT","أحداثا"
"ON_TEXT","على"
"SUMMARY_TEXT","ملخص"
"DAILY","اليومي"
"MONTHLY","شهريا"
"WEEKLY","أسبوعي"
"YEARLY","سنوي"
"ALTERNATE_DAYS","أيام بديلة"
"FORTNIGHTLY","مرة كل اسبوعين"
"ALL_DAYS","كل الأيام"
"ENDS_AFTER","تنتهي بعد"
"FORCE_ARRIVAL","وصول القوة"
"FORCE_COMPLETE","كامل القوة"
"UNASSIGN","إلغاء تعيين"
"FORCE","فرض"
"ORDER_EDITED_MSG","تم تحرير هذا الأمر على JD، وبالتالي فإن البيانات في OM الجديد قد تكون غير صحيحة. يرجى الرجوع إلى الرابط التالي للاطلاع على التفاصيل الدقيقة -"
"KM","كم"
"ORDER","طلب"
"DRIVER_INSTRUCTIONS","سائق تعليمات"
"MERCHANT","تاجر"
"AGENT","وكيل"
"STOPS","توقف"
"STOP_ID","توقف ID"
"DATE_TIME","التاريخ الوقت"
"PERFORM_MSG","هل أنت متأكد أنك تريد تنفيذ هذا الإجراء"
"FORCE_COMPLETE_ORDER","قوة اكمال"
"RIDE_DISTANCE","ركوب القطر"
"RETURN_DISTANCE","عودة القطر"
"PARKING_FARE","أجرة وقوف السيارات"
"RIDE_TIME","الوقت ركوب"
"PICKUP_DISTANCE","بيك أب القطر"
"PICKUP_WAITING_TIME","لاقط وقت الانتظار"
"DROP_ADDRESS","انخفاض عنوان"
"ADD_REMARKS","إضافة ملاحظات"
"ACTIVATE_recur_task","هل ترغب في تفعيل مهمة المتكررة إضافة على؟"
"DEACTIVATE_recur_task","هل تريد حقا أن تعطيل الإضافة الخاصة بك على؟"
"DEACTIVATE_recur_task_sub_text","ملاحظة: سوف تظل قواعد المتكررة النشطة حاليا نشاطا وسيتم إنشاء مهمتهم حسب التكوين. لتعطيلها، يرجى حذف القواعد الفردية من الصفحة حكم التفاصيل المتكررة."
"ACTIVATE_tookan_client","هل ترغب في تفعيل العميل Tookan أضف على؟"
"ACTIVATE_tookan_partner","هل ترغب في تفعيل شريك Tookan إضافة على؟"
"DEACTIVATE_fugu_chat","وهذا تعطيل دردشة فوجو عن تطبيقك."
"ACTIVATE_rating_add_on","هل ترغب في تفعيل التصويت إضافة على؟"
"ACTIVATE_barcode_add_on","هل ترغب في تفعيل قانون نقابة المحامين إضافة على؟"
"ACTIVATE_earning_pricing","تفعيل ربحية والتسعير لحسابك"
"DEACTIVATE_earning_pricing","إيقاف ربحية والتسعير لحسابك"
"deactivate_fugu_for_app","وهذا تعطيل دردشة فوجو عن التطبيق وكيلك"
"fugu_for_business_app","دردشة فوجو لتطبيقك الأعمال"
"activate_customer_rating","هذا وسوف تفعيل تصنيف العملاء في حسابك."
"deactivate_customer_rating","وهذا إلغاء تصنيف العملاء في حسابك."
"deactivate_bar_code","وهذا إلغاء قانون نقابة المحامين لحسابك"
"activate_bar_code","هذا وسوف تفعيل قانون نقابة المحامين لحسابك"
"idm_for_agent_app_activate","هذا وسوف تفعيل إدارة الهوية لكيلك التطبيقات"
"customer_signup_app_activate","هذا وسوف تفعيل الاشتراك العملاء لخدمة العملاء الخاص بك التطبيقات."
"till_end_of_march","حتى نهاية مارس"
"go_to_fugu_dashboard","الذهاب إلى فوجو Dashbaord"
"customer_signup_app_deactivate","وهذا إلغاء الاشتراك العملاء لخدمة العملاء الخاص بك التطبيقات."
"idm_for_agent_app_deactivate","وهذا تعطيل إدارة الهوية لكيلك التطبيقات"
"no_agent_matches","कोई एजेंट फ़िल्टर से मेल खाता"
"lower_case_category","वर्ग"
"HIDDEN_FIELD","حقل مخفي"
"TASK_TEMPLATES","قوالب"
"TEMPLATE_NAME","اسم القالب"
"READ_ONLY","يقرأ فقط"
"ADD_CUSTOM_FIELD","إضافة حقل مخصص"
"CUSTOM_TEMPLATE_NAME","اسم قالب مخصص"
"DELETE_MSG","هل أنت واثق؟ هذا لا يمكن التراجع عنها."
"INPUT_TYPE_DROPDOWN","نوع الإدخال: منسدلة"
"HELP_MSG_1","عندما نوع الإدخال المنسدلة، تضاف فاصلة قيم مفصولة كقيمة المجال. وهذه قيم مفصولة بفواصل تظهر كخيارات للالمنسدلة على"
"APP","التطبيق"
"INPUT_TYPE_CHECKLIST","نوع الإدخال: المرجعية"
"HELP_MSG_2","عندما نوع الإدخال المرجعية، إدراج فاصلة قيم مفصولة كحقل value.These فاصلة قيم مفصولة ستظهر كخيارات للمرجعية على"
"INPUT_TYPE_DATA_FUTURE","نوع المدخلات: تاريخ المستقبل"
"HELP_TEXT_3","اذهب إلى"
"INPUT_TYPE_DATA_PAST","نوع المدخلات: تاريخ الماضي"
"HELP_TEXT_4","الصفحة. مرة واحدة وأضاف، في"
"ADD_TEMPLATE","إضافة قالب"
"TABLE_DETAIL","تفاصيل الجدول"
"INPUT_TYPE","نوع المدخلات"
"NUMBER","رقم"
"TEXT","نص"
"TELEPHONE","هاتف"
"HEADER_NAME","اسم رأس"
"ADD_MORE","أضف المزيد"
"CUSTOM_FIELD_TEMPLATE","قوالب حقل مخصص"
"TEMPLATES_SUB_HEADING","حقول مخصصة تسمح لك التقاط المعلومات في شكل غير محددة لعملك."
"EDIT_TEMPLATE","تحرير قالب"
"DUPLICATE_TEMPLATE","قالب مكررة"
"DELETE_TEMPLATE","حذف قالب"
"TEMPLATE_LIBRARY","مكتبة قالب"
"ADD_TO_MY_TEMPLATE","أضف إلى قوالب"
"SAMPLE_HELP_TEXT","يمكنك تعديل هذا القالب، بمجرد إضافته إلى قائمة النماذج الخاصة بك."
"TEMPLATE_NAME_TOOLTIP","إعطاء اسم السهل القالب الخاص بك، بحيث يمكنك اختيار واحد الحق في حين خلق المهمة. (فضاءات لا يسمح)"
"FIELD_NAME","اسم الحقل"
"ACTIONABLE","فعالة"
"FIELD_MANDATE","الانتداب الميدان"
"ADD_COLUMN","إضافة عمود"
"ADVANCED","المتقدمة"
"APP_POPUP_NOTIFICATION","التطبيق المنبثقة الإخطارات"
"APP_POPUP_NOTIFICATION_TOOLTIP","تكوين الحقول التي ستنعكس على التطبيق الإخطار المنبثقة عند إرسال مهمة إلى وكيل الخاص بك."
"PAYMENT_INVOICE_TEMPLATE","قالب فاتورة الدفع"
"PAYMENT_INVOICE_TEMPLATE_TEXT_1","إنشاء دفع فاتورة قالب ديناميكي سيتم عرضها على وكيل الخاص بك في غضون التطبيق، بعد أن المهمة complete.You يمكن أيضا استخدام"
"PAYMENT_INVOICE_TEMPLATE_TEXT_2","ضمن التطبيق، بعد أن المهمة complete.You يمكن أيضا استخدام"
"PAYMENT_INVOICE_TEMPLATE_TEXT_3","الحساب وإذا بين آخر الصيغ"
"PAYMENT_INVOICE_TEMPLATE_TEXT_4","أثناء إنشاء هذا القالب."
"FIELD_NAME_TOOLTIP","أسماء الحقول تعكس مباشرة في تطبيقات الجوال وكيل، حتى تبقى لهم صلة."
"APP_SIDE_DISPLAY_TOOLTIP","إذن لقراءة فقط (يمكن للوكلاء يرى فقط)، القراءة والكتابة (وكلاء يمكن إضافة أو تعديل الميدان) أو كان مخفيا من وكلاء."
"INPUT_TYPE_TOOLTIP","التحقق من صحة البيانات المدخلة، مع نوع البيانات الصحيح. يمكنك الحصول على خيارات مثل عدد والبريد الإلكتروني، والنص وأكثر من ذلك ..."
"TEMPLATE_VALUE_TOOLTIP","قبل تحديد قيمة الحقل، إضافة قيمة في حين إنشاء مهمة أو (الخيار القراءة / الكتابة مع) سماح كلاء لإضافة قيمة من تطبيقات الجوال."
"TEMPLATE_MANDATORY_TOOLTIP","اختيار ما إذا كان الحقل إلزامي أو غير إلزامي في حين الانتهاء من هذه المهمة. (وكيل لا يمكن إكمال المهمة إذا لم يتم ملء الحقول الإلزامية)"
"TEMPLATE_MANDATORY_TOOLTIP_1","تكوين الخيارات التي تود أن تعكس على"
"INVOICE_SAMPLE","دفع الفاتورة الصيغ عينة"
"AIRTMETIC_TYPES","وهناك أنواع مختلفة من الحساب وإذا بين آخر التعبيرات التي يمكنك استخدامها من أجل توليد فاتورة الديناميكية. وفيما يلي بعض الأمثلة التي يمكنك استخدامها أو تعديلها حسب متطلبات عملك"
"SIMPLE_AIRTMETIC","بعملية حسابية بسيطة"
"COMPLEX_AIRTMETIC","الحسابية المعقدة"
"SIMPLE_IF_ELSE","بسيطة إذا، آخر (حساب أجرة بناء على المسافة والزمن)"
"COMPLEX_IF_ELSE","مجمع اذا-آخر"
"READ_MORE","قراءة المزيد عن هذا"
"HELP","مساعدة"
"INPUT_TYPE_TEXT","عندما نوع الإدخال المنسدلة أو المرجعية، إدراج فاصلة قيم مفصولة كقيمة المجال. وهذه قيم مفصولة بفواصل تظهر كخيارات لالمنسدلة / المرجعية على"
"MY_TEMPLATES","بلدي قوالب"
"SELECT_DATA_TYPE","حدد نوع البيانات"
"DELETE","حذف"
"ALLOW_AGENT_INPUT","السماح الإدخال وكيل"
"APP_SIDE_DISPLAY","عرض التطبيق الجانبية"
"MANDATORY","إلزامي"
"COLUMN","عمود"
"NONE_SELECTED","لم يتم التحديد"
"FIELD_1","المجال 1"
"FIELD_2","الميدان (2)"
"SELECT_TAG","اختر السمه"
"TIME_SPENT_FOR_JOBS","الوقت الذي يقضيه عن وظيفة"
"EARNING_RULE","أرباح القاعدة"
"RULE_NAME","اسم القاعدة"
"SAVE_TEMPLATE_MSG","تحتاج إلى حفظ القالب قبل إضافة التسعير العمل وكسب حكم القاعدة."
"ADD_RULE","إضافة قاعدة"
"DRIVER_EARNINGS","الأرباح سائق"
"FEES_EARNED_PER_TASK","رسوم حصل في مهمة"
"BASE_FARE","الاجرة الاساسية"
"DURATION_FEE","رسوم المدة"
"DISTANCE_FEE","رسوم المسافة"
"DEDUCTIONS","الخصومات"
"FEES_DEDUCTED_PER_TASK","الرسوم المقتطعة لكل مهمة"
"COMMISSION","عمولة"
"SAVE_CHANGES","حفظ التغييرات"
"FORMULA_NAME","اسم الصيغة"
"FORMULA","معادلة"
"FINAL_EARNING","كسب النهائي"
"APPLY_TO","تطبيق ل"
"ALL_AGENTS","جميع وكلاء /"
"SELECTED_AGENTS","وكلاء مختارة"
"PICKUP_ONLY","احمل فقط"
"DELIVERY_ONLY","التسليم فقط"
"BOTH","كلا البيك اب والتسليم"
"UPDATE_CHANGES","تحديث التغييرات"
"ADDITIONS","الإضافات"
"TASK_PRICING_AND_EARNING_RULE","التسعير العمل وكسب القاعدة"
"DEDUCTION","المستقطع"
"APPLIES_TO","ينطبق على"
"DATE","تاريخ"
"DATE_FUTURE","التاريخ المستقبل"
"DATE_PAST","التاريخ الماضي"
"DATETIME_FUTURE","التاريخ والوقت في المستقبل"
"DATETIME_PAST","التاريخ والوقت-الماضي"
"EMAIL","البريد الإلكتروني"
"URL","URL"
"TABLE","الطاولة"
"BARCODE","الباركود"
"CHECKBOX","مربع"
"CHECKLIST","قائمة تدقيق"
"DROPDOWN","اسقاط"
"IMAGE","صورة"
"CAMERA_GALLERY","الكاميرا والاستوديو"
"CAMERA_ONLY","الكاميرا فقط"
"NOT_MANDATORY","ليس إلزاميا"
"audio","ऑडियो"
"RATING","تقييم"
"Ratings_&_REVIEW","التقييمات ومراجعة"
"EXPORT_TABLE_AS_CSV","الجدول التصدير، CSV"
"FEEDBACK","ردود الفعل"
"review","إعادة النظر"
"REFRESH","تحديث"
"TEAM_NAME","اسم الفريق"
"MANAGE_SCHEDULE","إدارة الجدول الزمني"
"SETTINGS","إعدادات"
"SEARCH_BY_PLACEHOLDER","البحث عن طريق"
"SEARCH_BY_PLACEHOLDER_1","أو اسم الفريق"
"BUSY","مشغول"
"UNAVAILABLE","غير متوفره"
"AVAILABLE_HOURS","ساعات المتاحة"
"BOOKED_TIME","الوقت حجز"
"AVAILABILITY","توفر"
"UNAVAILABLE_TIME","الوقت غير متوفر"
"NO_DATA","لا تتوافر بيانات"
"JOBS_AVAILABLE","المهن متوفرة"
"ENABLE_AVAILABILITY","تمكين التوفر"
"BILLING_DETAILS","تفاصيل الفاتورة"
"UPGRADE_PLANS","خطة الترقية"
"NAME_OF_THE_PLAN","اسم الخطة"
"CHANGE_PLAN","تغيير خطة"
"ACCOUNT_NAME","أسم الحساب"
"NEXT_BILLING_DATE","المقبل التاريخ الفواتير"
"CREDIT_CARD_DETAILS","تفاصيل بطاقة الائتمان"
"ADD_CARD","إضافة بطاقة"
"CHANGE_CARD","بطاقة التغيير"
"PAYMENT_HISTORY","تاريخ الدفع"
"RECEIPT_NUMEBR","عدد إيصال"
"AMOUNT","كمية"
"BILLING_MONTH","شهر الفواتير"
"TRAIL_PERIOD_EXPIRE","انتهاء الفترة التجريبية على"
"PLAN","خطة"
"EXPIRY_DATE","انقضاء"
"CREDITS","قروض"
"CARD_DETAILS","معلومات البطاقة"
"UPGRADE_PLAN","يرجى الانتظار حتى 1 من الشهر المقبل أو ترقية خطتك الاستمرار في استخدام التطبيق."
"CURRENT_TOTAL","يتضمن عملك الحالي ما مجموعه"
"CURRENT_TOTAL_AND","و"
"CHOOSE_PLAN","اختيار خطة"
"PAYABLE_MONTHLY","تدفع شهريا"
"BASED","على أساس"
"SHORT_BUSINESSES","من الأفضل للشركات مع المهام مدة قصيرة"
"DEALING_LARGE","من المفيد عند التعامل مع حوض سباحة كبير جدا من المهام ضد القوى العاملة المعدودة."
"AGAINST_WORKFORCE","ضد القوى العاملة المعدودة."
"UNLIMITED","غير محدود"
