"key","value"
"DURATION_DEFAULT","Các Thời gian một nhiệm vụ là theo mặc định bằng chênh lệch giữa thời gian kết thúc và thời gian bắt đầu, nhưng nó có thể tùy chỉnh bằng cách sử dụng Thời gian tùy chọn Custom Task."
"DEFAULT_5MINUTES","Nhiệm vụ thời gian là 5 phút theo mặc định"
"DURATION_DIFFERENCE","Nhiệm vụ thời gian là sự khác biệt giữa bắt đầu và kết thúc thời gian theo mặc định."
"PER","mỗi"
"CONSIDER_PICKUP_DELIVERY_TIME","Cân nhắc Pick-Up và Thời gian giao hàng"
"MINIMIZE_DRIVE_TIME","Các đại lý Giảm thiểu thời gian lái xe"
"DRIVE_ON_TIME_END","Các đại lý nên luôn luôn đến đúng giờ"
"WILL_BE_OPTIMIZE_TASK","nhiệm vụ sẽ được tối ưu hóa trong chế về thời gian kết thúc nhưng có thể dẫn đến việc unassigned"
"WILL_BE_OPTIMIZE_ENTIRE_TASK","nhiệm vụ sẽ được tối ưu hóa cho cả ngày không phụ thuộc vào thời gian cuối nhiệm vụ"
"custom_task_duration","Tuỳ chỉnh công tác Thời gian"
"MAX_task_per_fleet","NHIỆM VỤ TỐI ĐA MỖI Agent"
"routed_task","nhiệm vụ định tuyến"
"ASSIGN_AGENTS","Gán Đại lý"
"SELECT_TEAM","Chọn đội"
"SUBMIT","Đệ trình"
"DETAILS","Chi tiết"
"ADDRESS","Địa chỉ nhà"
"CUSTOMER_NAME","tên khách hàng"
"CUSTOMER_PHONE","Điện thoại khách hàng"
"TASK_ID","nhiệm vụ ID"
"TASK_DETAILS","Chi tiết công việc"
"TASK_TYPE","nhiệm vụ Loại"
"DESCRIPTION","Sự miêu tả"
"TASK_STATUS","Tình trạng nhiệm vụ"
"CUSTOMER_DETAILS","Chi tiết khách hàng"
"COMPLETE_TIME","Toàn Thời gian"
"THIS","Điều này"
"DELETED","xóa"
"ADD_AGENT","Thêm Agent"
"LAST_NAME","tên họ"
"PHONE","Điện thoại"
"ASSIGN","Chỉ định"
"SCHEDULE_PERMISSIONS","Biểu Quyền cho các đại lý"
"CONTACT","Tiếp xúc"
"NAME","Tên bạn là gì"
"TIMELINE","Mốc thời gian"
"NO_TIMELINE","Không timeline sẵn cho ngày"
"NOT_UPDATED","chưa cập nhật"
"LAST_STOPPAGE_TIME","Cuối Đình Time"
"LAST_MOVING_TIME","Cuối Thời gian di chuyển"
"AGENTS","Đại lý Tìm kiếm"
"STATUS","Trạng thái"
"TASK_DESCRIPTION","Mô tả công việc"
"CUSTOM_FIELDS","Tập quán"
"REFERENCE_IMAGE","Hình ảnh tham chiếu"
"ACTIVITY_TIMELINE","hoạt động Timeline"
"PATH_HISTORY","Lịch sử con đường"
"START_BEFORE","Bắt đầu Trước khi"
"COMPLETE_BEFORE","Toàn bộ Trước"
"CUSTOMER","khách hàng"
"TOTAL_TIME_TAKEN","Tổng thời Taken"
"DISTANCE_TRAVELLED","khoảng cách đã Đi"
"REASSIGN","phân công lại"
"EDIT_TASKS","chỉnh sửa công việc"
"DUPLICATE_TASKS","Duplicate công tác"
"CHANGE_STATUS","Thay đổi trạng thái"
"DELETE_TASKS","xóa công tác"
"Export_Tasks","Xuất tác"
"CUSTOMER_RATING","Đánh giá của khách hàng"
"TASK_DETAIL","Chi tiết"
"HISTORY","Lịch sử"
"CONNECTED_TASKS","Nhiệm vụ kết nối"
"TRACKING_LINK","Liên kết theo dõi"
"CLICK_TO_TRACK","Nhấn vào đây để theo dõi"
"PENDING","chưa giải quyết"
"COMPLETED","Đã hoàn thành"
"CANCELLED","bị hủy bỏ"
"NO_TASKS","Nhiệm vụ không có sẵn cho ngày"
"TEAM","Đội"
"SEEN","Đã xem"
"UNSEEN","không thấy"
"SEARCH_FLEET","Tìm kiếm"
"FLEET_RIGHT_2_TEXT_1","Tất cả các"
"FLEET_TEAM","Đội"
"FLEET_NAME","Tên đại lý"
"FLEET_ID","ID Đại Lý"
"FLEET_EMAIL","E-mail"
"FLEET_TAGS","thẻ"
"PERMISSIONS","Quyền"
"ACTIVATE","Kích hoạt"
"MANAGER_RIGHT_2_CLICK_HERE","Bấm vào đây"
"SCHEDULE","Lịch cho tài khoản của bạn."
"CONTROL","Điều khiển"
"MANAGER","Giám đốc"
"SUB_HEADER","Đặt Giờ làm việc mặc định cho đại lý của bạn"
"SUB_HEADER_2","Đặt Truy cập quyền cho Giám đốc của bạn"
"MANAGER_RIGHT_1","Các nhà quản lý không thể truy cập"
"MANAGER_RIGHT_2","Các nhà quản lý có thể xem và chỉnh sửa"
"MANAGER_RIGHT_2_TEXT_1","Tất cả các nhà quản lý có thể truy cập bằng cách mặc định."
"MANAGER_RIGHT_2_TEXT_2","để thay đổi cài đặt này."
"SUB_HEADER_3","Đặt Truy cập quyền cho bạn"
"FLEET_RIGHT_1","không thể truy cập"
"FLEET_RIGHT_2","có thể xem và chỉnh sửa"
"FLEET_RIGHT_2_TEXT_2","có thể truy cập bằng cách mặc định."
"FLEET_RIGHT_2_TEXT_3","để thay đổi cài đặt này."
"UPDATE_MANAGER_PERMISSIONS","Update Manager Quyền"
"SET_MANAGER_RIGHTS","Đặt Xem & Sửa đổi quyền cho Giám đốc của bạn"
"SEARCH_MANAGER","quản lý tìm kiếm"
"MANGER_NAME","Tên người quản lý"
"MANGER_EMAIL","Quản lý Email"
"MANGER_TEAM","Đội quản lý"
"MANAGER_ID","ID"
"SEARCH_TEAM","Nhóm Tìm kiếm"
"CANCEL_FILTERS","Hủy bỏ lọc"
"SET_FLEET_RIGHTS","Đặt Xem & Sửa đổi quyền cho bạn"
"SEARCH_TAG","Tìm Tag"
"STEP","Bậc thang"
"OF","của"
"VIEW_ONLY","Chỉ xem"
"VIEW&EDIT","Sửa xem"
"SEARCH_MANAGER_PLACEHOLDER","Tên người quản lý"
"CUSTOM_RIGHT_AGENT","Bạn đã thiết lập quyền tùy chỉnh cho mỗi"
"update_agent_schedule","अद्यतन कर्मचारी अनुसूची"
"activate_agent_schedule","सक्रिय कर्मचारी अनुसूची"
"search_customer","Tìm kiếm khách hàng"
"IMPORT_CSV","nhập CSV"
"SELECT_FILE","Chọn tập tin"
"IMPORT_CUSTOMERS","nhập Khách hàng"
"CLICK_HERE_TEXT","để tải về tập tin CSV mẫu với các giá trị mẫu nhập dữ liệu của khách hàng"
"DRAG_DROP","Kéo và thả tập tin CSV"
"GET_IN_TOUCH","Liên lạc"
"SELECT_TEMPLATE","Chọn Template"
"CREATE_TASK_VIA_CSV","Tạo Nhiệm vụ qua CSV"
"DOWNLOAD_SAMPLE_FILE","Tải về tập tin mẫu"
"HAVE_CUSTOM_FILE","Có một tùy File?"
"SELECT_CUSTOM_FIELD","Chọn Template Dòng Tuỳ chỉnh"
"REMOVE_TEMPLATE","Di Template"
"DROP_FILE","Thả tập tin đính kèm, hoặc"
"BROWSE","Duyệt"
"CSV_UPLOAD","Báo cáo Tải lên CSV"
"REASON","lý do"
"UPLOAD_STATUS","trạng thái Tải lên"
"SUCCESS","Sự thành công"
"FAILED","Thất bại"
"DELIVERY","Chuyển"
"PICK_UP","Nhặt lên"
"CSV","qua CSV"
"CREATE","Tạo nên"
"PICKUP","Nhặt lên"
"APP_ADD_REQ","địa chỉ hẹn được yêu cầu"
"ENSURE_FIELDS_BEFORE_UPLOAD","Hãy đảm bảo rằng các lĩnh vực tiêu đề trong CSV mẫu không được sửa đổi trước khi tải lên."
"FOR","vì"
"HEADING","Thiết lập tài khoản"
"NEW_TASK","Nhiệm vụ mới"
"AUTO_ASSIGN","Auto Gán"
"SELECT_AGENTS","Chọn đại lý"
"HELP_TEXT_1","Bạn không có hoạt động"
"CHANGE_TASK_STATUS","Thay đổi trạng thái nhiệm vụ"
"SELECT_A_TEAM","Chọn một đội bóng trước khi tối ưu hóa tuyến đường"
"HELP_TEXT_2","Thêm"
"SELECT_DELIVERY_OPTIONS","Chọn tùy chọn giao hàng để xem các trường"
"SELECT_PICKUP_OPTIONS","Chọn chọn các tùy chọn để xem các trường"
"LATITUDE","vĩ độ"
"LONGITUDE","kinh độ"
"DELIVERY_ADDRESS","Địa chỉ giao hàng"
"TIMINGS","Thời gian"
"PICKUP_TIME","Hiện Pickup"
"GREATER_TIME","Thời gian phải lớn hơn thời điểm hiện tại"
"DELIVERY_TIME","Thời gian giao hàng"
"START_TIME","Thời gian bắt đầu"
"END_TIME","Thời gian kết thúc"
"ENT_TIME_GREATER","thời gian kết thúc phải lớn hơn thời gian bắt đầu"
"CLIENT","khách hàng"
"REFERENCE_IMAGES","Hình ảnh tham khảo"
"ENABLE","cho phép"
"LABEL","Nhãn"
"VALUE","Giá trị lĩnh vực"
"ACTION","Hoạt động"
"ADD_ROW","Thêm dòng"
"BUSSINESS_NAME","Tên doanh nghiệp"
"MERCHANT_CONTACT","Merchant Liên hệ"
"PICKUP_POINT","Point Pickup"
"START_WITH","Bắt đầu với"
"LOCATION","vị trí"
"ADD_CUSTOM_FIELDS","Thêm Tuỳ chỉnh Fields"
"DELIVERY_TIME_GREATER","Thời gian giao hàng phải lớn hơn thời gian Pick-up."
"REPEAT_TASK","lặp lại công tác"
"ASIGN_AGENT","gán Agent"
"VIA_PARTNER","thông qua đối tác"
"CREATE_TASK","để tạo ra nhiệm vụ từ ứng dụng."
"MANUALLY","bằng tay"
"SWITCH_GEO_ON","Chuyển sang On Geo-hàng rào"
"SELECT_AGENT","Select_Agent"
"NO","Không"
"AVAILABLE","có sẵn"
"YES","Vâng"
"PICK_UP_DETAILS","Pick-up chi tiết"
"DELIVERY_DETAILS","Chi tiết giao hàng"
"RESET","Cài lại"
"SELECT_PARTNER","chọn đối tác"
"ASSIGN_TASKS","Phân công nhiệm vụ kết nối với cùng Đội và"
"ALL_TASKS","Tất cả các"
"PICKUP_ADDRESS","Chọn địa chỉ"
"END_TIME_GREATER","Thời gian kết thúc*"
"Task_DESCRIPTION","Mô tả công việc"
"ADD_GEOFENCE","Thêm địa chỉ nhiệm vụ để cho phép Geo-hàng rào lọc."
"NO_GEOFENCE","thiên đường \ bạn 't thiết lập bất kỳ vùng Geo-hàng rào chưa"
"MATCHES_FILTER","phù hợp với bộ lọc"
"AUTO","Tự động"
"MANUAL","Hướng dẫn sử dụng"
"NO_TEAM","Không đội sẵn, hãy thêm một đội bóng để tiếp tục."
"NO_RESULT","Không kết quả"
"AUTOMATIC_ASSIGN","assign tự động"
"PARTNER","Cộng sự"
"DUPLICATE_STOP","Duplicate Dừng"
"UPDATE_STOP","cập nhật Dừng"
"CREATE_STOP","tạo Dừng"
"SELECT_A_PARTNER","Chọn một đối tác"
"ENTER_COMMA_SEPARATED_MSG","Vui lòng nhập dấu phẩy tách ra"
"ENABLE_ACKNOWLEDGE_TYPE_NONE","Hãy vô hiệu hóa tính năng tự động gán để kích hoạt tính năng nhận dạng none."
"add_a_pickup_point","Thêm một điểm đón"
"add_another_pickup_point","Thêm một điểm đón"
"add_a_delivery_point","Thêm một điểm giao hàng"
"add_another_delivery_point","Thêm một điểm giao hàng"
"automatically","tự động"
"ENTER_BARCODE","nhập mã vạch"
"ALL_TEAMS","Tất cả các đội"
"BATTERY_LAVEL","Battery Level"
"NEW","Mới"
"COPY_DESC_STOP","Sao chép mô tả cho tất cả các điểm dừng"
"THIS_OVERRIDE_STOPS_DESC","Điều này sẽ ghi đè lên tất cả dừng lại mô tả"
"REASIGN_AGENT","phân công lại đại lý"
"assign_connected_task_to_same_agent","Gán Nhiệm vụ kết nối để cùng đội và Agent"
"NOTES","Ghi chú"
"EMAIL_OPTIONAL","Email (bắt buộc)"
"DELIVER_BEFORE","cung cấp Trước"
"PICKUP_BEFORE","Pick-up Trước"
"OR","Hoặc là"
"CLICK_OR_BROWSE","Nhấn vào đây để duyệt hoặc thả một tập tin hình ảnh"
"SHOW_COORDINATES","Hiện Tọa độ"
"REPEAT_HEADER","Nói lại"
"REPEATS_HEADER","lặp lại"
"REPEATS_ON","lặp lại On"
"STARTS_ON","bắt đầu Mở"
"ENDS_ON","kết thúc On"
"AFTER_TEXT","Sau"
"OCCURENCES_TEXT","lần xuất hiện"
"ON_TEXT","Trên"
"SUMMARY_TEXT","Tóm lược"
"DAILY","hằng ngày"
"MONTHLY","hằng tháng"
"WEEKLY","hàng tuần"
"YEARLY","hàng năm"
"ALTERNATE_DAYS","ngày thay thế"
"FORTNIGHTLY","mổi mười lăm ngày"
"ALL_DAYS","tất cả các ngày"
"ENDS_AFTER","Kết thúc sau"
"FORCE_ARRIVAL","Force Đến"
"FORCE_COMPLETE","lực lượng Toàn bộ"
"UNASSIGN","bỏ chỉ định"
"FORCE","Lực lượng"
"ORDER_EDITED_MSG","Lệnh này đã được chỉnh sửa trên JD, vì vậy dữ liệu trong OM mới có thể không chính xác. Vui lòng tham khảo link sau để biết chi tiết chính xác -"
"KM","km"
"ORDER","Gọi món"
"DRIVER_INSTRUCTIONS","Hướng dẫn lái xe"
"MERCHANT","thương thuyền"
"AGENT","Đặc vụ"
"STOPS","dừng"
"STOP_ID","dừng ID"
"DATE_TIME","Ngày giờ"
"PERFORM_MSG","Bạn có chắc chắn bạn muốn thực hiện hành động này"
"FORCE_COMPLETE_ORDER","Lực lượng tự Complete"
"RIDE_DISTANCE","Ride cách"
"RETURN_DISTANCE","Return cách"
"PARKING_FARE","Đậu xe Fare"
"RIDE_TIME","Thời gian đi xe"
"PICKUP_DISTANCE","Khỏang cách Pickup"
"PICKUP_WAITING_TIME","Pickup Thời gian chờ"
"DROP_ADDRESS","thả Địa chỉ"
"ADD_REMARKS","Thêm chú thích"
"ACTIVATE_recur_task","Bạn có muốn để kích hoạt nhiệm vụ định kỳ Thêm vào?"
"DEACTIVATE_recur_task","Bạn có thực sự muốn tắt add bạn trên?"
"DEACTIVATE_recur_task_sub_text","Lưu ý: Các quy tắc lặp đi lặp lại hiện đang hoạt động sẽ vẫn hoạt động và nhiệm vụ của họ sẽ được tạo ra theo cấu hình. Để vô hiệu hóa chúng, xin vui lòng xóa các quy tắc riêng lẻ từ trang chi tiết quy tắc lặp đi lặp lại."
"ACTIVATE_tookan_client","Bạn có muốn Kích hoạt Client Tookan Thêm vào?"
"ACTIVATE_tookan_partner","Bạn có muốn Kích hoạt Partner Tookan Thêm vào?"
"DEACTIVATE_fugu_chat","Điều này sẽ tắt Fugu chat cho ứng dụng của bạn."
"ACTIVATE_rating_add_on","Bạn có muốn Kích hoạt Rating Thêm vào?"
"ACTIVATE_barcode_add_on","Bạn có muốn để kích hoạt Mã Vạch Thêm vào?"
"ACTIVATE_earning_pricing","kích hoạt Tích luỹ và giá cho tài khoản của bạn"
"DEACTIVATE_earning_pricing","tắt Lãi cơ và giá cho tài khoản của bạn"
"deactivate_fugu_for_app","Điều này sẽ tắt Fugu chat cho ứng dụng đại lý của bạn"
"fugu_for_business_app","Fugu chat cho App kinh doanh của bạn"
"activate_customer_rating","Điều này sẽ kích hoạt Rating khách hàng trong tài khoản của bạn."
"deactivate_customer_rating","Điều này sẽ tắt Đánh giá khách hàng trong tài khoản của bạn."
"deactivate_bar_code","Điều này sẽ tắt Mã Vạch cho tài khoản của bạn"
"activate_bar_code","Điều này sẽ kích hoạt Mã Vạch cho tài khoản của bạn"
"idm_for_agent_app_activate","Điều này sẽ kích hoạt Identity Management cho App đại lý của bạn"
"customer_signup_app_activate","Điều này sẽ kích hoạt đăng ký khách hàng cho App khách hàng của bạn."
"till_end_of_march","Đến cuối tháng Ba"
"go_to_fugu_dashboard","Tới Fugu trang tổng quan"
"customer_signup_app_deactivate","Điều này sẽ tắt đăng ký khách hàng cho App khách hàng của bạn."
"idm_for_agent_app_deactivate","Điều này sẽ tắt Identity Management cho App đại lý của bạn"
"no_agent_matches","कोई एजेंट फ़िल्टर से मेल खाता"
"lower_case_category","वर्ग"
"HIDDEN_FIELD","Hidden Dòng"
"TASK_TEMPLATES","Templates"
"TEMPLATE_NAME","Tên mẫu"
"READ_ONLY","Chỉ đọc"
"ADD_CUSTOM_FIELD","Thêm trường tùy chỉnh"
"CUSTOM_TEMPLATE_NAME","Tên mẫu tùy chỉnh"
"DELETE_MSG","Bạn có chắc không? Điều này không thể được hoàn tác."
"INPUT_TYPE_DROPDOWN","loại đầu vào: Dropdown"
"HELP_MSG_1","Khi loại đầu vào là thả xuống, chèn dấu phẩy tách giá trị như giá trị trường. Những dấu phẩy tách giá trị sẽ xuất hiện như những tùy chọn thả xuống trên"
"APP","App"
"INPUT_TYPE_CHECKLIST","loại đầu vào: Danh sách kiểm tra"
"HELP_MSG_2","Khi loại đầu vào là danh sách kiểm tra, chèn dấu phẩy giá trị tách biệt như trường value.These dấu phẩy giá trị tách biệt sẽ xuất hiện như những tùy chọn danh sách kiểm tra trên"
"INPUT_TYPE_DATA_FUTURE","loại Input: Date-Tương lai"
"HELP_TEXT_3","đi đến"
"INPUT_TYPE_DATA_PAST","loại đầu vào: ngày-qua"
"HELP_TEXT_4","trang. Khi thêm vào,"
"ADD_TEMPLATE","Thêm Template"
"TABLE_DETAIL","bảng Chi tiết"
"INPUT_TYPE","Kiểu đầu vào"
"NUMBER","Con số"
"TEXT","Bản văn"
"TELEPHONE","Điện thoại"
"HEADER_NAME","Tên tiêu đề"
"ADD_MORE","Bổ sung thêm"
"CUSTOM_FIELD_TEMPLATE","Trường Tùy chỉnh Templates"
"TEMPLATES_SUB_HEADING","lĩnh vực tùy chỉnh cho phép bạn nắm bắt thông tin trong một hình thức mà là cụ thể cho doanh nghiệp của bạn."
"EDIT_TEMPLATE","chỉnh sửa Template"
"DUPLICATE_TEMPLATE","Mẫu Duplicate"
"DELETE_TEMPLATE","xóa Mẫu"
"TEMPLATE_LIBRARY","Thư viện template"
"ADD_TO_MY_TEMPLATE","Thêm vào Templates của tôi"
"SAMPLE_HELP_TEXT","Bạn có thể chỉnh sửa mẫu này, một khi bạn thêm nó vào danh sách mẫu của bạn."
"TEMPLATE_NAME_TOOLTIP","Hãy cho một tên dễ dàng cho mẫu của bạn, do đó bạn có thể chọn một trong những quyền trong khi tạo ra một nhiệm vụ. (Số lượng không được phép)"
"FIELD_NAME","Tên trường"
"ACTIONABLE","hành động"
"FIELD_MANDATE","Dòng Mandate"
"ADD_COLUMN","Thêm Cột"
"ADVANCED","Nâng cao"
"APP_POPUP_NOTIFICATION","App Pop-up thông báo"
"APP_POPUP_NOTIFICATION_TOOLTIP","Cấu hình các trường sẽ phản ánh trên các ứng dụng pop-up thông báo khi một nhiệm vụ sẽ được gửi đến chất độc da của bạn."
"PAYMENT_INVOICE_TEMPLATE","Mẫu hóa đơn thanh toán"
"PAYMENT_INVOICE_TEMPLATE_TEXT_1","Tạo một mẫu hóa đơn thanh toán năng động mà sẽ được hiển thị cho chất độc da bạn trong ứng dụng, sau khi nhiệm vụ là complete.You cũng có thể sử dụng"
"PAYMENT_INVOICE_TEMPLATE_TEXT_2","trong ứng dụng, sau khi nhiệm vụ là complete.You cũng có thể sử dụng"
"PAYMENT_INVOICE_TEMPLATE_TEXT_3","số học và if-else công thức"
"PAYMENT_INVOICE_TEMPLATE_TEXT_4","trong khi tạo ra mẫu này."
"FIELD_NAME_TOOLTIP","tên trường phản ánh trực tiếp trong ứng dụng di động đại lý, vì vậy giữ cho chúng có liên quan."
"APP_SIDE_DISPLAY_TOOLTIP","Cho phép chỉ đọc (đại lý chỉ có thể nhìn thấy), đọc và viết (đại lý có thể thêm hoặc sửa đổi các lĩnh vực) hoặc nó được ẩn từ các đại lý."
"INPUT_TYPE_TOOLTIP","Xác nhận các dữ liệu nhập vào, với các kiểu dữ liệu chính xác. Bạn nhận được các tùy chọn như số, email, văn bản và nhiều hơn nữa ..."
"TEMPLATE_VALUE_TOOLTIP","Pre-xác định giá trị của lĩnh vực này, thêm giá trị trong khi tạo ra một nhiệm vụ hoặc (với tùy chọn đọc / ghi) cho phép các đại lý để thêm giá trị từ các ứng dụng di động."
"TEMPLATE_MANDATORY_TOOLTIP","Chọn xem lĩnh vực này là bắt buộc hay không bắt buộc trong khi hoàn thành nhiệm vụ. (Agent có thể không hoàn thành nhiệm vụ nếu các lĩnh vực bắt buộc không được điền)"
"TEMPLATE_MANDATORY_TOOLTIP_1","Cấu hình các tùy chọn bạn muốn phản ánh trên"
"INVOICE_SAMPLE","Công thức mẫu hóa đơn thanh toán"
"AIRTMETIC_TYPES","Có nhiều loại khác nhau của số học và các biểu thức if-else mà bạn có thể sử dụng để tạo ra một hóa đơn năng động. Dưới đây là một vài ví dụ mà bạn có thể sử dụng hoặc sửa đổi tùy thuộc vào yêu cầu kinh doanh của bạn"
"SIMPLE_AIRTMETIC","Số học đơn giản"
"COMPLEX_AIRTMETIC","Số học phức tạp"
"SIMPLE_IF_ELSE","Đơn giản if-else (Tính Fare Dựa trên khoảng cách và thời gian)"
"COMPLEX_IF_ELSE","if-else Complex"
"READ_MORE","Đọc thêm về vấn đề này"
"HELP","Cứu giúp"
"INPUT_TYPE_TEXT","Khi loại đầu vào là thả xuống hoặc danh sách kiểm tra, chèn dấu phẩy giá trị tách ra như giá trị trường. Những dấu phẩy tách giá trị này sẽ xuất hiện như là tùy chọn cho thả xuống / danh sách kiểm tra trên"
"MY_TEMPLATES","Templates của tôi"
"SELECT_DATA_TYPE","Chọn kiểu dữ liệu"
"DELETE","Xóa bỏ"
"ALLOW_AGENT_INPUT","Cho phép Agent Input"
"APP_SIDE_DISPLAY","App Side hiển thị"
"MANDATORY","Bắt buộc"
"COLUMN","Cột"
"NONE_SELECTED","Không chọn"
"FIELD_1","lĩnh vực 1"
"FIELD_2","trường 2"
"SELECT_TAG","Chọn Tag"
"TIME_SPENT_FOR_JOBS","Thời gian dành cho công việc"
"EARNING_RULE","Thu nhập Rule"
"RULE_NAME","Tên quy tắc"
"SAVE_TEMPLATE_MSG","Bạn cần phải lưu mẫu trước khi thêm một giá công tác và thu nhập quy tắc quy tắc."
"ADD_RULE","Thêm quy tắc"
"DRIVER_EARNINGS","Thu nhập tài xế"
"FEES_EARNED_PER_TASK","Phí thu mỗi nhiệm vụ"
"BASE_FARE","Fare cơ sở"
"DURATION_FEE","Phí thời gian"
"DISTANCE_FEE","Phí khoảng cách"
"DEDUCTIONS","khấu trừ"
"FEES_DEDUCTED_PER_TASK","Phí khấu trừ mỗi nhiệm vụ"
"COMMISSION","Uỷ ban"
"SAVE_CHANGES","Lưu thay đổi"
"FORMULA_NAME","Tên công thức"
"FORMULA","Công thức"
"FINAL_EARNING","Tích luỹ thức"
"APPLY_TO","Nộp đơn"
"ALL_AGENTS","Tất cả các Đại lý /"
"SELECTED_AGENTS","Đại lý chọn"
"PICKUP_ONLY","Nhận chỉ"
"DELIVERY_ONLY","chỉ giao hàng"
"BOTH","Cả hai pick-up & giao hàng"
"UPDATE_CHANGES","cập nhật thay đổi"
"ADDITIONS","bổ sung"
"TASK_PRICING_AND_EARNING_RULE","Nhiệm vụ Giá & Thu nhập Rule"
"DEDUCTION","Khấu trừ"
"APPLIES_TO","Áp dụng cho"
"DATE","Ngày"
"DATE_FUTURE","Ngày-Future"
"DATE_PAST","Ngày-Past"
"DATETIME_FUTURE","Datetime-Future"
"DATETIME_PAST","Datetime-Past"
"EMAIL","E-mail"
"URL","URL"
"TABLE","Bàn"
"BARCODE","Mã vạch"
"CHECKBOX","checkbox"
"CHECKLIST","Danh mục"
"DROPDOWN","thả xuống"
"IMAGE","hình ảnh"
"CAMERA_GALLERY","Camera và Gallery"
"CAMERA_ONLY","Chỉ camera"
"NOT_MANDATORY","Không bắt buộc"
"audio","ऑडियो"
"RATING","Xêp hạng"
"Ratings_&_REVIEW","Và Review xếp hạng"
"EXPORT_TABLE_AS_CSV","Xuất bảng như CSV"
"FEEDBACK","Phản hồi"
"review","Ôn tập"
"REFRESH","Làm tươi"
"TEAM_NAME","Tên nhóm"
"MANAGE_SCHEDULE","quản lý lịch"
"SETTINGS","Cài đặt"
"SEARCH_BY_PLACEHOLDER","Tìm kiếm bởi"
"SEARCH_BY_PLACEHOLDER_1","hoặc Tên đội"
"BUSY","Bận"
"UNAVAILABLE","Không có sẵn"
"AVAILABLE_HOURS","Giờ có sẵn"
"BOOKED_TIME","Thời gian đặt"
"AVAILABILITY","khả dụng"
"UNAVAILABLE_TIME","Thời gian không có sẵn"
"NO_DATA","Không có dữ liệu"
"JOBS_AVAILABLE","Công việc có sẵn"
"ENABLE_AVAILABILITY","Kích hoạt tính năng sẵn có"
"BILLING_DETAILS","Chi tiết Thanh toán"
"UPGRADE_PLANS","Kế hoạch nâng cấp"
"NAME_OF_THE_PLAN","Tên của Kế hoạch"
"CHANGE_PLAN","thay đổi kế hoạch"
"ACCOUNT_NAME","Tên tài khoản"
