"key","value"
"SELECT","აირჩიეთ"
"MIN_TASK","მინიმალური სამუშაო პერ"
"MAX_TASK","მაქსიმალური სამუშაო პერ"
"MAX","მაქსიმალური"
"MIN","min"
"ROUTE_OPTIMIZATION_PRIORITY","მარშრუტის ოპტიმიზაცია პრიორიტეტი"
"START_LOCATION","აგენტი დაწყება მდებარეობა"
"CURRENT_LOCATION","ახლანდელი ადგილსამყოფელი"
"BUSINESS_LOCATION","ბიზნესის მდებარეობა"
"CUSTOM_LOCATION","Custom მდებარეობა"
"SELECT_ALL","მონიშნე ყველა"
"TASK","სამუშაო"
"UNROUTED_TASK","Unrouted სამუშაო"
"TASKS_NOT_ROUTED","ამოცანების დამარცხდა"
"ROUTING","Routing"
"ROUTE_OPTIMIZATION_PARAMETERS","აირჩიეთ მარშრუტი ოპტიმიზაციის პარამეტრების"
"OPTIMIZED_VIA","მარშრუტები შეიძლება ოპტიმიზირებულია მეშვეობით"
"ENTER_CUSTOM_LOCATION","საბაჟო საიდან"
"TASK_DURATION","ხანგრძლივობა ამოცანაა იყოს ტოლი 5-ე წუთზე, მაგრამ ეს შეიძლება მორგებულია გამოყენებით საბაჟო ამოცანა ხანგრძლივობა ვარიანტი."
"DURATION_DEFAULT","ხანგრძლივობა ამოცანაა იყოს ტოლი განსხვავება დასრულების დრო და დაწყების დრო, მაგრამ ეს შეიძლება მორგებულია გამოყენებით საბაჟო ამოცანა ხანგრძლივობა ვარიანტი."
"DEFAULT_5MINUTES","დავალების ხანგრძლივობა არის 5 წუთი იყოს"
"DURATION_DIFFERENCE","დავალების ხანგრძლივობა განსხვავებაა დაწყების და დასრულების დრო იყოს."
"PER","პოსტი"
"CONSIDER_PICKUP_DELIVERY_TIME","განვიხილოთ პიკაპის და მიწოდების დრო"
"MINIMIZE_DRIVE_TIME","აგენტი მინიმუმამდე წამყვანი დრო"
"DRIVE_ON_TIME_END","აგენტი ყოველთვის უნდა ჩამოვა დროს"
"WILL_BE_OPTIMIZE_TASK","ამოცანა იქნება ოპტიმიზირებულია დასრულების დრო შეზღუდვების მაგრამ შეიძლება გამოიწვიოს unassigned ამოცანა"
"WILL_BE_OPTIMIZE_ENTIRE_TASK","ამოცანა იქნება ოპტიმიზირებულია მთელი დღე, მიუხედავად იმისა, ამოცანა დასრულების დრო"
"custom_task_duration","საბაჟო ამოცანა ხანგრძლივობა"
"MAX_task_per_fleet","მაქსიმალური კომისია თითო აგენტი"
"routed_task","მარშრუტიზირებადი ამოცანა"
"ASSIGN_AGENTS","მიანიჭეთ აგენტები"
"SELECT_TEAM","აირჩიეთ გუნდი"
"SUBMIT","წარუდგინოს"
"DETAILS","დაწვრილებით"
"ADDRESS","მისამართი"
"CUSTOMER_NAME","მომხმარებლის სახელი"
"CUSTOMER_PHONE","მომხმარებელთა ტელეფონი"
"TASK_ID","Task ID"
"TASK_DETAILS","სამუშაო დეტალები"
"TASK_TYPE","ამოცანა ტიპის"
"DESCRIPTION","აღწერა"
"TASK_STATUS","ამოცანა სტატუსი"
"CUSTOMER_DETAILS","კლიენტის დეტალები"
"COMPLETE_TIME","სრული დრო"
"THIS","ეს"
"DELETED","ამოღებულია"
"ADD_AGENT","რჩეულებში აგენტი"
"LAST_NAME","გვარი"
"PHONE","ტელეფონი"
"ASSIGN","მიანიჭეთ"
"SCHEDULE_PERMISSIONS","განრიგი ნებართვების აგენტები"
"CONTACT","კონტაქტი"
"NAME","რა გქვია"
"TIMELINE","ვადები"
"NO_TIMELINE","ვადები ხელმისაწვდომია დღეს"
"NOT_UPDATED","არ არის განახლებული"
"LAST_STOPPAGE_TIME","ბოლო შეჩერება დრო"
"LAST_MOVING_TIME","ბოლო Moving დრო"
"AGENTS","ძებნა აგენტები"
"STATUS","სტატუსი"
"TASK_DESCRIPTION","სამუშაო აღწერა"
"CUSTOM_FIELDS","Custom"
"REFERENCE_IMAGE","Reference Image"
"ACTIVITY_TIMELINE","აქტიურობა Timeline"
"PATH_HISTORY","Path ისტორია"
"START_BEFORE","დაიწყება"
"COMPLETE_BEFORE","სრული ადრე"
"CUSTOMER","მომხმარებელთა"
"TOTAL_TIME_TAKEN","სულ დრო აღებული"
"DISTANCE_TRAVELLED","დისტანციის"
"REASSIGN","reassign"
"EDIT_TASKS","Edit სამუშაო"
"DUPLICATE_TASKS","Duplicate სამუშაო"
"CHANGE_STATUS","შეცვლა სტატუსი"
"DELETE_TASKS","ამოცანის წაშლა"
"Export_Tasks","ექსპორტი სამუშაო"
"CUSTOMER_RATING","მომხმარებელთა რეიტინგი"
"TASK_DETAIL","დაწვრილებით"
"HISTORY","ისტორია"
"CONNECTED_TASKS","დაკავშირებული ამოცანების"
"TRACKING_LINK","Tracking ლინკები"
"CLICK_TO_TRACK","დააწკაპუნეთ აქ, რათა თვალყური"
"PENDING","მოლოდინში"
"COMPLETED","დასრულებული"
"CANCELLED","გაუქმდა"
"NO_TASKS","არარის ამოცანა ხელმისაწვდომია დღეს"
"TEAM","Team"
"SEEN","ნახვა"
"UNSEEN","Unseen"
"SEARCH_FLEET","ძებნა"
"FLEET_RIGHT_2_TEXT_1","ყველა"
"FLEET_TEAM","Team"
"FLEET_NAME","აგენტის სახელი და გვარი"
"FLEET_ID","აგენტი Id"
"FLEET_EMAIL","ელ-ფოსტის გაგზავნა"
"FLEET_TAGS","Tags"
"PERMISSIONS","ნებართვები"
"ACTIVATE","გააქტიურება"
"MANAGER_RIGHT_2_CLICK_HERE","დააკლიკე აქ"
"SCHEDULE","განრიგი თქვენი ანგარიში."
"CONTROL","Control"
"MANAGER","Manager"
"SUB_HEADER","უცნობია ნაგულისხმები სამუშაო საათები თქვენი აგენტი"
"SUB_HEADER_2","დადგენილი დაშვების უფლებების თქვენი Manager"
"MANAGER_RIGHT_1","მენეჯერები ვერ შედიხართ"
"MANAGER_RIGHT_2","მენეჯერები შეგიძლიათ ნახოთ და რედაქტირება"
"MANAGER_RIGHT_2_TEXT_1","ყველა მენეჯერები შეგიძლიათ თქვათ by default."
"MANAGER_RIGHT_2_TEXT_2","უნდა შეიცვალოს ეს პარამეტრები."
"SUB_HEADER_3","დადგენილი დაშვების უფლებების თქვენი"
"FLEET_RIGHT_1","ვერ შედიხართ"
"FLEET_RIGHT_2","შეგიძლიათ ნახოთ და რედაქტირება"
"FLEET_RIGHT_2_TEXT_2","შეგიძლიათ თქვათ by default."
"FLEET_RIGHT_2_TEXT_3","ამ პარამეტრის შესაცვლელად."
"UPDATE_MANAGER_PERMISSIONS","განახლების მენეჯერი ნებართვები"
"SET_MANAGER_RIGHTS","უცნობია დათვალიერება და რედაქტირება უფლებათა თქვენი Manager"
"SEARCH_MANAGER","ძებნა მენეჯერი"
"MANGER_NAME","მენეჯერი სახელი"
"MANGER_EMAIL","მენეჯერი ელ"
"MANGER_TEAM","Manager Team"
"MANAGER_ID","ID"
"SEARCH_TEAM","ძებნა Team"
"CANCEL_FILTERS","გაუქმება ფილტრები"
"SET_FLEET_RIGHTS","უცნობია დათვალიერება და რედაქტირება უფლებათა თქვენი"
"SEARCH_TAG","ძიება საკვანძო"
"STEP","ნაბიჯი"
"OF","საქართველოს"
"VIEW_ONLY","მხოლოდ დათვალიერება"
"VIEW&EDIT","დათვალიერება და რედაქტირება"
"SEARCH_MANAGER_PLACEHOLDER","მენეჯერი სახელი"
"CUSTOM_RIGHT_AGENT","თქვენ არ შექმნას საბაჟო უფლებები ყოველ"
"update_agent_schedule","अद्यतन कर्मचारी अनुसूची"
"activate_agent_schedule","सक्रिय कर्मचारी अनुसूची"
"search_customer","ძებნა მომხმარებელთა"
"IMPORT_CSV","იმპორტი CSV"
"SELECT_FILE","მონიშნე ფაილი"
"IMPORT_CUSTOMERS","იმპორტი მომხმარებელთა"
"CLICK_HERE_TEXT","ჩამოტვირთვა CSV ფაილი თარგი ნიმუში ღირებულებების მომხმარებელთა მონაცემების იმპორტი"
"DRAG_DROP","Drag & Drop CSV ფაილი"
"GET_IN_TOUCH","შემეხმიანე"
"SELECT_TEMPLATE","აირჩიეთ თარგი"
"CREATE_TASK_VIA_CSV","შექმნა ამოცანები მეშვეობით CSV"
"DOWNLOAD_SAMPLE_FILE","ჩამოტვირთვა ნიმუში ფაილი"
"HAVE_CUSTOM_FILE","აქვს საბაჟო ფაილი?"
"SELECT_CUSTOM_FIELD","აირჩიეთ საბაჟო სფეროში თარგი"
"REMOVE_TEMPLATE","ამოიღონ თარგი"
"DROP_FILE","ჩამოაგდეს ფაილის ანიჭებენ, ან"
"BROWSE","იხილე"
"CSV_UPLOAD","CSV ატვირთვა ანგარიში"
"REASON","მიზეზი"
"UPLOAD_STATUS","ატვირთვის სტატუსი"
"SUCCESS","წარმატება"
"FAILED","ვერ"
"DELIVERY","მიწოდების"
"PICK_UP","აღება"
"CSV","მეშვეობით CSV"
"CREATE","შექმნა"
"PICKUP","აღება"
"APP_ADD_REQ","დანიშვნის მისამართი საჭირო"
"ENSURE_FIELDS_BEFORE_UPLOAD","გთხოვთ, რომ სათაურის სფეროები ნიმუში CSV არ შეიცვალა ატვირთვა."
"FOR","იყიდება"
"HEADING","ანგარიშის Setup"
"NEW_TASK","ახალი დავალება"
"AUTO_ASSIGN","Auto მიანიჭეთ"
"SELECT_AGENTS","აირჩიეთ აგენტები"
"HELP_TEXT_1","თქვენ არ გაქვთ აქტიური"
"CHANGE_TASK_STATUS","შეცვლა ამოცანა სტატუსი"
"SELECT_A_TEAM","აირჩიეთ გუნდი ადრე ოპტიმიზაციის მარშრუტი"
"HELP_TEXT_2","დამატება"
"SELECT_DELIVERY_OPTIONS","აირჩიეთ მიწოდების პარამეტრების სანახავად სფეროებში"
"SELECT_PICKUP_OPTIONS","აირჩიეთ შეარჩიო პარამეტრების სანახავად სფეროებში"
"LATITUDE","გრძედი"
"LONGITUDE","კოდი"
"DELIVERY_ADDRESS","მისაღები მისამართი"
"TIMINGS","დროის"
"PICKUP_TIME","პიკაპის დრო"
"GREATER_TIME","დრო უნდა იყოს მეტი მიმდინარე დრო"
"DELIVERY_TIME","მიტანის დრო"
"START_TIME","დაწყების დრო"
"END_TIME","დროის დასასრული"
"ENT_TIME_GREATER","დასრულების დრო უნდა იყოს მეტი Start time"
"CLIENT","Client"
"REFERENCE_IMAGES","Reference სურათები"
"ENABLE","ჩართვა"
"LABEL","Label"
"VALUE","Field Value"
"ACTION","აქცია"
"ADD_ROW","რიგის დამატება"
"BUSSINESS_NAME","ბიზნესის სახელი"
"MERCHANT_CONTACT","Merchant Contact"
"PICKUP_POINT","Pickup Point"
"START_WITH","ით დაწყება"
"LOCATION","ადგილმდებარეობა"
"ADD_CUSTOM_FIELDS","დამატება Custom Fields"
"DELIVERY_TIME_GREATER","მიწოდების დრო უნდა იყოს მეტი დახვედრა დროს."
"REPEAT_TASK","გაიმეორეთ სამუშაო"
"ASIGN_AGENT","მიანიჭეთ აგენტი"
"VIA_PARTNER","გავლით Partner"
"CREATE_TASK","შექმნათ ამოცანა app."
"MANUALLY","ხელით"
"SWITCH_GEO_ON","გადასვლა On Geo-ფარიკაობა"
"SELECT_AGENT","Select_Agent"
"NO","არარის"
"AVAILABLE","ხელმისაწვდომია"
"YES","დიახ"
"PICK_UP_DETAILS","დახვედრა დეტალები"
"DELIVERY_DETAILS","მიწოდების დეტალები"
"RESET","აღდგენა"
"SELECT_PARTNER","აირჩიეთ პარტნიორი"
"ASSIGN_TASKS","მიანიჭეთ დაკავშირებული ამოცანების იგივე გუნდი და"
"ALL_TASKS","ყველა"
"PICKUP_ADDRESS","Pickup მისამართი"
"END_TIME_GREATER","დროის დასასრული*"
"Task_DESCRIPTION","დავალების აღწერა"
"ADD_GEOFENCE","სანიშნეს ამოცანა მისამართი, რათა Geo ღობე ფილტრი."
"NO_GEOFENCE","თქვენ haven \ 't კონფიგურაცია რაიმე Geo ღობე რეგიონებში ჯერ"
"MATCHES_FILTER","მატჩები ფილტრი"
"AUTO","ავტო"
"MANUAL","სახელმძღვანელო"
"NO_TEAM","არცერთი გუნდი არ არის შესაძლებელი, გთხოვთ დაამატოთ გუნდი გააგრძელოს."
"NO_RESULT","უშედეგო"
"AUTOMATIC_ASSIGN","ავტომატური assign"
"PARTNER","პარტნიორი"
"DUPLICATE_STOP","დუბლიკატი Stop"
"UPDATE_STOP","განახლება გაჩერება"
"CREATE_STOP","შექმნა Stop"
"SELECT_A_PARTNER","აირჩიეთ პარტნიორი"
"ENTER_COMMA_SEPARATED_MSG","გთხოვთ შეიყვანოთ მძიმეებით"
"ENABLE_ACKNOWLEDGE_TYPE_NONE","გთხოვთ, გამორთოთ auto-დავალება, რათა აღიარება ტიპის არცერთი."
"add_a_pickup_point","დამატება პიკაპი წერტილი"
"add_another_pickup_point","სანიშნეს კიდევ ერთი პიკაპის წერტილი"
"add_a_delivery_point","დამატება მიწოდების წერტილი"
"add_another_delivery_point","დამატება კიდევ მიწოდების წერტილი"
"automatically","ავტომატურად"
"ENTER_BARCODE","შეიყვანეთ კოდი"
"ALL_TEAMS","ყველა გუნდი"
"BATTERY_LAVEL","Battery Level"
"NEW","new"
"COPY_DESC_STOP","Copy აღწერილობა ყველა გაჩერება"
"THIS_OVERRIDE_STOPS_DESC","ეს იქნება override ყველა აჩერებს აღწერა"
"REASIGN_AGENT","reassign აგენტი"
"assign_connected_task_to_same_agent","მიანიჭეთ დაკავშირებული ამოცანების იგივე გუნდი და აგენტი"
"NOTES","შენიშვნები"
"EMAIL_OPTIONAL","ელ (არასავალდებულო)"
"DELIVER_BEFORE","სიტყვით სანამ"
"PICKUP_BEFORE","პიკაპის სანამ"
"OR","ან"
"CLICK_OR_BROWSE","დაწკაპეთ დაათვალიეროთ ან ჩამოაგდეს ფაილი"
"SHOW_COORDINATES","Show კოორდინატები"
"REPEAT_HEADER","გაიმეორეთ"
"REPEATS_HEADER","იმეორებს"
"REPEATS_ON","იმეორებს"
"STARTS_ON","იწყება"
"ENDS_ON","მთავრდება"
"AFTER_TEXT","მას შემდეგ, რაც"
"OCCURENCES_TEXT","occurences"
"ON_TEXT","on"
"SUMMARY_TEXT","შემაჯამებელი"
"DAILY","Daily"
"MONTHLY","ყოველთვიური"
"WEEKLY","Weekly"
"YEARLY","ყოველწლიურად"
"ALTERNATE_DAYS","ალტერნატიული Days"
"FORTNIGHTLY","ორ კვირაში ერთხელ"
"ALL_DAYS","ყოველ დღე"
"ENDS_AFTER","სრულდება მას შემდეგ,"
"FORCE_ARRIVAL","Force ჩამოსვლა"
"FORCE_COMPLETE","Force სრული"
"UNASSIGN","მიმაგრების"
"FORCE","Force"
"ORDER_EDITED_MSG","ეს ბრძანება უკვე რედაქტირებული JD, ასე რომ მონაცემების ახალი OM შეიძლება იყოს არასწორი. გთხოვთ მიმართეთ შემდეგ ბმულს ზუსტი დეტალები -"
"KM","კმ"
"ORDER","Order"
"DRIVER_INSTRUCTIONS","Driver ინსტრუქციები"
"MERCHANT","Merchant"
"AGENT","აგენტი"
"STOPS","Stops"
"STOP_ID","Stop ID"
"DATE_TIME","თარიღი დროის"
"PERFORM_MSG","დარწმუნებული ხართ, რომ გსურთ ამ მოქმედების"
"FORCE_COMPLETE_ORDER","Force სრული წესრიგი"
"RIDE_DISTANCE","Ride მანძილი"
"RETURN_DISTANCE","დაბრუნება მანძილი"
"PARKING_FARE","პარკინგი Fare"
"RIDE_TIME","Ride დრო"
"PICKUP_DISTANCE","Pickup მანძილი"
"PICKUP_WAITING_TIME","Pickup ლოდინის დრო"
"DROP_ADDRESS","Drop მისამართი"
"ADD_REMARKS","რჩეულებში შენიშვნები"
"ACTIVATE_recur_task","გსურთ გააქტიურება განმეორებადი ამოცანა დამატება შესახებ?"
"DEACTIVATE_recur_task","ნამდვილად გსურთ გამორთვა თქვენს add on?"
"DEACTIVATE_recur_task_sub_text","შენიშვნა: აქტიური განმეორებადი წესები ძალაში რჩება და მათი ამოცანაა შეიქმნება როგორც პოსტი კონფიგურაცია. გამორთოთ ისინი, გთხოვთ წაშალოთ ინდივიდუალური წესები განმეორებადი წესი დეტალური გვერდზე."
"ACTIVATE_tookan_client","გსურთ გააქტიურება Tookan ორგანიზაციის დამატება შესახებ?"
"ACTIVATE_tookan_partner","გსურთ გააქტიურება Tookan პარტნიორი დამატება შესახებ?"
"DEACTIVATE_fugu_chat","ეს იქნება გამორთოთ Fugu სტატისტიკა თქვენი app."
"ACTIVATE_rating_add_on","გსურთ გააქტიურება რეიტინგი დამატება შესახებ?"
"ACTIVATE_barcode_add_on","გსურთ გააქტიურება Bar Code დამატება შესახებ?"
"ACTIVATE_earning_pricing","გააქტიურება რამაც და ფასდადების თქვენი ანგარიში"
"DEACTIVATE_earning_pricing","გამორთვა რამაც და ფასდადების თქვენი ანგარიში"
"deactivate_fugu_for_app","ეს იქნება გამორთოთ Fugu სტატისტიკა თქვენი აგენტი app"
"fugu_for_business_app","Fugu ჩატი თქვენი ბიზნესის App"
"activate_customer_rating","ეს ააქტივებს ნიშანი თქვენს ანგარიშზე."
"deactivate_customer_rating","ეს იქნება გამორთოთ ნიშანი თქვენს ანგარიშზე."
"deactivate_bar_code","ეს იქნება გამორთოთ Bar Code თქვენი ანგარიში"
"activate_bar_code","ეს ააქტივებს Bar Code თქვენი ანგარიში"
"idm_for_agent_app_activate","ეს ააქტივებს პირადობის მართვის თქვენი აგენტი App"
"customer_signup_app_activate","ეს ააქტივებს მომხმარებელთა რეგისტრაცია თქვენი მომხმარებელთა App."
"till_end_of_march","ბოლომდე მარტი"
"go_to_fugu_dashboard","გადასვლა Fugu Dashbaord"
"customer_signup_app_deactivate","ეს იქნება გამორთოთ მომხმარებელთა რეგისტრაცია თქვენი მომხმარებელთა App."
"idm_for_agent_app_deactivate","ეს იქნება გამორთოთ პირადობის მართვის თქვენი აგენტი App"
"no_agent_matches","कोई एजेंट फ़िल्टर से मेल खाता"
"lower_case_category","वर्ग"
"HIDDEN_FIELD","დამალული სფერო"
"TASK_TEMPLATES","Templates"
"TEMPLATE_NAME","შაბლონის სახელი"
"READ_ONLY","წაიკითხეთ მხოლოდ"
"ADD_CUSTOM_FIELD","ველის დამატება"
"CUSTOM_TEMPLATE_NAME","საბაჟო თარგი სახელი"
"DELETE_MSG","დარწმუნებული ხარ? ეს არ შეიძლება გაუქმდეს."
"INPUT_TYPE_DROPDOWN","შეყვანის ტიპი: ჩამოსაშლელ"
"HELP_MSG_1","როდესაც შეყვანის ტიპის dropdown, ჩადეთ მძიმით გამოყოფილი მნიშვნელობები საველე ღირებულება. ეს მძიმით გამოყოფილი მნიშვნელობები გამოჩნდება ვარიანტები dropdown on"
"APP","აპლიკაცია"
"INPUT_TYPE_CHECKLIST","შეყვანის ტიპი: ჩამონათვალი"
"HELP_MSG_2","როდესაც შეყვანის ტიპის ჩამონათვალი, ჩადეთ მძიმით გამოყოფილი მნიშვნელობები საველე value.These მძიმით გამოყოფილი მნიშვნელობები გამოჩნდება ვარიანტები ჩამონათვალი on"
"INPUT_TYPE_DATA_FUTURE","შეყვანის ტიპი: თარიღი მომავალი"
"HELP_TEXT_3","წადი"
"INPUT_TYPE_DATA_PAST","შეყვანის ტიპი: თარიღი ბოლო"
"HELP_TEXT_4","გვერდზე. ერთხელ დასძინა, რომ"
"ADD_TEMPLATE","სანიშნეს თარგი"
"TABLE_DETAIL","მაგიდის დეტალები"
"INPUT_TYPE","შეყვანის ტიპი"
"NUMBER","პუნქტების"
"TEXT","ტექსტი"
"TELEPHONE","ტელეფონის"
"HEADER_NAME","header სახელი"
"ADD_MORE","მეტის დამატება"
"CUSTOM_FIELD_TEMPLATE","საბაჟო სფეროში Templates"
"TEMPLATES_SUB_HEADING","საბაჟო სფეროში საშუალებას გაძლევთ ხელში ინფორმაციის ფორმა, რომელიც სპეციფიკური თქვენი ბიზნესის."
"EDIT_TEMPLATE","Edit Template"
"DUPLICATE_TEMPLATE","Duplicate თარგი"
"DELETE_TEMPLATE","წაშლა თარგი"
"TEMPLATE_LIBRARY","თარგი ბიბლიოთეკა"
"ADD_TO_MY_TEMPLATE","დამატება ჩემი შაბლონები"
"SAMPLE_HELP_TEXT","თქვენ შეგიძლიათ ეს თარგი, ერთხელ თქვენ დაამატოთ ეს თქვენი template სია."
"TEMPLATE_NAME_TOOLTIP","მისცემს ადვილად სახელი თქვენი template, ასე რომ თქვენ შეგიძლიათ აირჩიოთ უფლება ერთი ხოლო შექმნის ამოცანა. (ფართები დაუშვებელია)"
"FIELD_NAME","საველე სახელი"
"ACTIONABLE","actionable"
"FIELD_MANDATE","სფეროში მანდატი"
"ADD_COLUMN","სვეტის დამატება"
"ADVANCED","მოწინავე"
"APP_POPUP_NOTIFICATION","App Pop-up შეტყობინებები"
"APP_POPUP_NOTIFICATION_TOOLTIP","კონფიგურაცია სფეროებში, რომელიც აისახება app pop-up შეტყობინების როდესაც ამოცანა იგზავნება თქვენს აგენტი."
"PAYMENT_INVOICE_TEMPLATE","გადახდის ინვოისი თარგი"
"PAYMENT_INVOICE_TEMPLATE_TEXT_1","შექმნა დინამიური გადახდის ინვოისი თარგი, რომელიც ნაჩვენები იქნება თქვენი აგენტი ფარგლებში app, შემდეგ ამოცანაა complete.You ასევე შეგიძლიათ"
"PAYMENT_INVOICE_TEMPLATE_TEXT_2","ფარგლებში app, შემდეგ ამოცანაა complete.You ასევე შეგიძლიათ"
"PAYMENT_INVOICE_TEMPLATE_TEXT_3","არითმეტიკული და თუ-სხვაგან ფორმულები"
"PAYMENT_INVOICE_TEMPLATE_TEXT_4","ხოლო შექმნის ეს თარგი."
"FIELD_NAME_TOOLTIP","სფეროში სახელები ასახავს პირდაპირ აგენტი პორტალის app, ასე რომ მათ შესაბამისი."
"APP_SIDE_DISPLAY_TOOLTIP","წაკითხვის უფლება მხოლოდ (აგენტები შეგიძლიათ მხოლოდ), წაიკითხა და წერენ (აგენტები შეგიძლიათ დაამატოთ ან შეცვალოთ სფეროში), ან ფარული აგენტები."
"INPUT_TYPE_TOOLTIP","დავამტკიცოთ მონაცემების შევიდა, სწორი მონაცემები ტიპის. თქვენ მიიღებთ პარამეტრები, როგორიცაა ნომერი, ელ, ტექსტი და სხვა ..."
"TEMPLATE_VALUE_TOOLTIP","წინასწარ განსაზღვრა ღირებულება სფეროში, დაამატოთ ღირებულება ხოლო შექმნის ამოცანა ან (ერთად წაკითხვის / ჩაწერის ვარიანტი) საშუალებას აგენტები დაამატოთ ღირებულების მობილური აპლიკაცია."
"TEMPLATE_MANDATORY_TOOLTIP","აირჩიონ სფეროში სავალდებულოა თუ არა სავალდებულო, ხოლო დასრულების ამოცანა. (აგენტი ვერ დაასრულებს ამოცანა თუ სავალდებულო არ არის შევსებული)"
"TEMPLATE_MANDATORY_TOOLTIP_1","კონფიგურაციის პარამეტრების გსურთ ასახავს"
"INVOICE_SAMPLE","გადახდის ინვოისის ნიმუში ფორმულები"
"AIRTMETIC_TYPES","არსებობს სხვადასხვა სახის არითმეტიკული და თუ-სხვაგან გამონათქვამები, რომელიც შეგიძლიათ გამოიყენოთ, რათა მათ დინამიური ინვოისი. ქვემოთ მოყვანილია რამდენიმე მაგალითი, რომელიც შეგიძლიათ გამოიყენოთ ან შეცვალოთ დამოკიდებულია თქვენი ბიზნესის მოთხოვნა"
"SIMPLE_AIRTMETIC","მარტივი არითმეტიკა"
"COMPLEX_AIRTMETIC","კომპლექსი არითმეტიკა"
"SIMPLE_IF_ELSE","Simple თუ-სხვაგან (გაანგარიშებისა Fare დაყრდნობით მანძილი და დრო)"
"COMPLEX_IF_ELSE","კომპლექსი თუ-სხვაგან"
"READ_MORE","დაწვრილებით ამის შესახებ"
"HELP","დახმარება"
"INPUT_TYPE_TEXT","როდესაც შეყვანის ტიპის dropdown ან ჩამონათვალი, ჩადეთ მძიმით გამოყოფილი მნიშვნელობები საველე ღირებულება. ეს მძიმით გამოყოფილი მნიშვნელობები გამოჩნდება ვარიანტები dropdown / ჩამონათვალი on"
"MY_TEMPLATES","ჩემი შაბლონები"
"SELECT_DATA_TYPE","აირჩიეთ მონაცემების ტიპის"
"DELETE","წაშლა"
"ALLOW_AGENT_INPUT","ნება აგენტი შეყვანის"
"APP_SIDE_DISPLAY","App Side ჩვენება"
"MANDATORY","სავალდებულო"
"COLUMN","სვეტი"
"NONE_SELECTED","არცერთი არ არის არჩეული"
"FIELD_1","სფეროში 1"
"FIELD_2","სფეროში 2"
"SELECT_TAG","აირჩიეთ საკვანძო"
"TIME_SPENT_FOR_JOBS","გატარებული დრო სამუშაოს"
"EARNING_RULE","მოგება Rule"
"RULE_NAME","წესის სახელი"
"SAVE_TEMPLATE_MSG","თქვენ უნდა შეინახოთ თარგი ადრე დასძინა სამუშაო ფასები და რამაც წესი წესი."
"ADD_RULE","წესის დამატება"
"DRIVER_EARNINGS","Driver მოგება"
"FEES_EARNED_PER_TASK","ტარიფები მიღებული თითო ამოცანა"
"BASE_FARE","Base Fare"
"DURATION_FEE","ხანგრძლივობა საფასური"
"DISTANCE_FEE","მანძილი საფასური"
"DEDUCTIONS","გამოქვითვები"
"FEES_DEDUCTED_PER_TASK","ტარიფები დაკავდება პოსტი ამოცანა"
"COMMISSION","კომისიის"
"SAVE_CHANGES","ცვლილებების შენახვა"
"FORMULA_NAME","ფორმულა სახელი"
"FORMULA","ფორმულა"
"FINAL_EARNING","Final რამაც"
"APPLY_TO","ვრცელდება"
"ALL_AGENTS","ყველა აგენტი /"
"SELECTED_AGENTS","შერჩეული აგენტები"
"PICKUP_ONLY","Pickup მხოლოდ"
"DELIVERY_ONLY","მიწოდების მხოლოდ"
"BOTH","ორივე პიკაპის და მიწოდება"
"UPDATE_CHANGES","განახლების ცვლილებები"
